epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7931,1.43488,5.07118,1.10853,0.00074,0.22222,0.00049,0.00027,1.43332,4.46646,1.01055,2e-05,2e-05,2e-05
2,27.1176,1.44452,4.88336,1.08022,0.00111,0.33333,0.00098,0.00055,1.29803,4.33903,0.96561,5.8812e-05,5.8812e-05,5.8812e-05
3,45.503,1.20602,4.55738,0.97135,0.00296,0.88889,0.00587,0.00317,1.23876,4.29218,0.95803,9.604e-05,9.604e-05,9.604e-05
4,56.582,1.10025,4.15961,0.8571,0.00333,1,0.00941,0.00553,1.17282,4.33389,0.90067,0.000131684,0.000131684,0.000131684
5,65.1249,1.16287,3.79267,0.91758,0.00333,1,0.00923,0.00636,1.01724,4.12091,0.87063,0.000165744,0.000165744,0.000165744
6,74.349,1.06839,2.91033,0.86984,0.00333,1,0.01057,0.00605,0.96502,3.93401,0.84591,0.00019822,0.00019822,0.00019822
7,87.837,1.01465,2.49123,0.83125,0.00333,1,0.00956,0.00643,0.98995,3.84665,0.81676,0.000229112,0.000229112,0.000229112
8,104.585,1.00363,2.84458,0.83066,0.00333,1,0.02256,0.00758,0.88454,3.86418,0.80731,0.00025842,0.00025842,0.00025842
9,121.214,0.94228,2.325,0.86485,0.00333,1,0.01779,0.00665,0.85433,3.86055,0.82133,0.000286144,0.000286144,0.000286144
10,138.651,0.90272,2.16475,0.86199,0.00333,1,0.01637,0.00669,0.80619,3.86726,0.82851,0.000312284,0.000312284,0.000312284
11,148.071,0.93544,2.40673,0.87763,0.00333,1,0.01058,0.0058,0.82133,3.87082,0.82468,0.00033684,0.00033684,0.00033684
12,156.437,0.86111,1.72943,0.83617,0.00333,1,0.01023,0.00587,0.83259,3.85583,0.81486,0.000359812,0.000359812,0.000359812
13,164.645,0.80439,2.14599,0.86752,0.00333,1,0.01042,0.00678,0.80705,3.8013,0.79823,0.0003812,0.0003812,0.0003812
14,172.942,0.85271,1.83717,0.83206,0.00333,1,0.01065,0.00704,0.83538,3.7596,0.795,0.000401004,0.000401004,0.000401004
15,181.695,0.78564,1.5672,0.86694,0.00333,1,0.01042,0.00719,0.87871,3.75184,0.80917,0.000419224,0.000419224,0.000419224
16,190.02,0.79962,1.87413,0.85334,0.00333,1,0.01012,0.00696,0.8862,3.81131,0.8169,0.00043586,0.00043586,0.00043586
17,198.359,0.87562,1.87397,0.89543,0.00333,1,0.00953,0.00655,0.87917,3.82772,0.82092,0.000450912,0.000450912,0.000450912
18,206.697,0.75032,1.63472,0.85817,0.00333,1,0.00911,0.00618,0.86813,3.83334,0.82735,0.00046438,0.00046438,0.00046438
19,214.941,0.76432,1.54166,0.83609,0.00333,1,0.00842,0.00581,0.82877,3.78762,0.82168,0.000476264,0.000476264,0.000476264
20,223.275,0.68565,1.53166,0.85987,0.00333,1,0.00739,0.00511,0.81487,3.68664,0.81875,0.000486564,0.000486564,0.000486564
21,231.882,0.79091,1.46763,0.86829,0.00333,1,0.00723,0.00488,0.80515,3.68779,0.82203,0.00049528,0.00049528,0.00049528
22,240.463,0.83359,1.44149,0.81031,0.00333,1,0.0068,0.00457,0.78939,3.71655,0.82011,0.000502412,0.000502412,0.000502412
23,250.08,0.65148,1.37515,0.85495,0.00296,0.88889,0.00677,0.00453,0.81405,3.73368,0.82187,0.00050796,0.00050796,0.00050796
24,263.171,0.66018,1.33114,0.85701,0.00296,0.88889,0.00684,0.00443,0.8193,3.72686,0.82602,0.000511924,0.000511924,0.000511924
25,272.255,0.67852,1.25976,0.83631,0.00296,0.88889,0.0068,0.00483,0.78673,3.66535,0.81933,0.000514304,0.000514304,0.000514304
26,281.132,0.6425,1.19677,0.82714,0.00296,0.88889,0.00658,0.00466,0.78075,3.64163,0.81621,0.0005151,0.0005151,0.0005151
27,289.903,0.65757,1.17543,0.81053,0.00296,0.88889,0.00604,0.00435,0.85464,3.60786,0.82363,0.000514312,0.000514312,0.000514312
28,298.677,0.67771,1.24227,0.8454,0.00296,0.88889,0.00604,0.00435,0.85464,3.60786,0.82363,0.00051194,0.00051194,0.00051194
29,307.365,0.59908,1.18528,0.8207,0.00296,0.88889,0.00588,0.0042,0.8836,3.56451,0.8247,0.000507984,0.000507984,0.000507984
30,316.391,0.66591,1.2571,0.82918,0.00296,0.88889,0.00591,0.00436,0.82493,3.52134,0.82168,0.000502444,0.000502444,0.000502444
31,325.356,0.62671,1.12163,0.83247,0.00296,0.88889,0.00591,0.00436,0.82493,3.52134,0.82168,0.00049532,0.00049532,0.00049532
32,334.488,0.55934,1.2758,0.83078,0.00296,0.88889,0.00582,0.00462,0.76213,3.46756,0.8153,0.000486612,0.000486612,0.000486612
33,343.532,0.62741,1.23436,0.82123,0.00296,0.88889,0.00598,0.00466,0.69681,3.41495,0.81034,0.00047632,0.00047632,0.00047632
34,352.41,0.655,1.15553,0.84021,0.00296,0.88889,0.00598,0.00466,0.69681,3.41495,0.81034,0.000464444,0.000464444,0.000464444
35,361.546,0.58296,1.20665,0.80638,0.00296,0.88889,0.00694,0.00559,0.66978,3.38665,0.80745,0.000450984,0.000450984,0.000450984
36,370.469,0.64253,1.43852,0.85181,0.00296,0.88889,0.01148,0.00925,0.67713,3.36271,0.80803,0.00043594,0.00043594,0.00043594
37,379.781,0.64383,1.22143,0.81427,0.00296,0.88889,0.01148,0.00925,0.67713,3.36271,0.80803,0.000419312,0.000419312,0.000419312
38,388.745,0.57117,1.21806,0.80671,0.00296,0.88889,0.16774,0.15589,0.69084,3.34314,0.8056,0.0004011,0.0004011,0.0004011
39,397.798,0.62418,1.32482,0.88167,0.00296,0.88889,0.45177,0.35146,0.70501,3.23229,0.80556,0.000381304,0.000381304,0.000381304
40,407.247,0.58769,1.11236,0.80813,0.00296,0.88889,0.45177,0.35146,0.70501,3.23229,0.80556,0.000359924,0.000359924,0.000359924
41,416.537,0.48531,1.42559,0.80539,0.00333,1,0.56412,0.43889,0.66699,3.12075,0.80198,0.00033696,0.00033696,0.00033696
42,426.155,0.52851,1.45833,0.83031,0.00333,1,0.66719,0.50629,0.6653,3.03897,0.80006,0.000312412,0.000312412,0.000312412
43,436.711,0.48361,1.4113,0.78845,0.00333,1,0.66719,0.50629,0.6653,3.03897,0.80006,0.00028628,0.00028628,0.00028628
44,446.406,0.57073,1.4175,0.83565,0.00333,1,0.66735,0.52661,0.66323,2.99503,0.80044,0.000258564,0.000258564,0.000258564
45,455.213,0.53912,1.47952,0.82362,0.00333,1,0.66735,0.52661,0.66323,2.99503,0.80044,0.000229264,0.000229264,0.000229264
46,464.435,0.53248,1.40729,0.78775,0.00333,1,0.6673,0.53952,0.65332,2.93818,0.7996,0.00019838,0.00019838,0.00019838
47,473.569,0.49849,1.51246,0.8048,0.00333,1,0.6673,0.53952,0.65332,2.93818,0.7996,0.000165912,0.000165912,0.000165912
48,482.655,0.4963,1.49003,0.84102,0.00525,0.77778,0.66722,0.55239,0.64874,2.83908,0.79892,0.00013186,0.00013186,0.00013186
49,491.695,0.47378,1.48404,0.81328,0.00525,0.77778,0.66722,0.55239,0.64874,2.83908,0.79892,9.6224e-05,9.6224e-05,9.6224e-05
50,500.526,0.48743,1.44791,0.79319,0.92213,0.66667,0.67165,0.57808,0.64351,2.71526,0.80122,5.9004e-05,5.9004e-05,5.9004e-05
