epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71742,0.49361,1.24438,0.82917,1,0.66863,0.77646,0.64914,0.64232,2.61379,0.799,2e-05,2e-05,2e-05
2,19.3477,0.51161,1.08969,0.81827,1,0.71028,0.79828,0.66738,0.68268,2.3238,0.79744,5.8812e-05,5.8812e-05,5.8812e-05
3,27.9538,0.53809,0.96555,0.77254,1,0.75601,0.87295,0.75925,0.68072,2.00875,0.80179,9.604e-05,9.604e-05,9.604e-05
4,36.3676,0.5061,0.96973,0.74782,1,0.76185,0.87295,0.75556,0.64435,1.93802,0.80393,0.000131684,0.000131684,0.000131684
5,44.9493,0.53382,0.9839,0.82075,1,0.75232,0.88518,0.76631,0.69411,2.10796,0.81111,0.000165744,0.000165744,0.000165744
6,55.3322,0.52386,0.9857,0.83388,1,0.72425,0.88518,0.74693,0.74784,2.31642,0.80917,0.00019822,0.00019822,0.00019822
7,64.4669,0.54255,1.10255,0.79207,1,0.71746,0.88573,0.72726,0.72283,2.27187,0.80216,0.000229112,0.000229112,0.000229112
8,72.6939,0.44267,1.27678,0.76556,1,0.79747,0.88568,0.7248,0.71922,2.10194,0.8012,0.00025842,0.00025842,0.00025842
9,81.4415,0.5239,1.10601,0.80613,1,0.83116,0.88659,0.71199,0.73275,1.9364,0.80161,0.000286144,0.000286144,0.000286144
10,89.9231,0.5446,1.04151,0.80386,0.99327,0.77778,0.973,0.77124,0.80323,1.78947,0.8111,0.000312284,0.000312284,0.000312284
11,98.3624,0.56513,1.19272,0.80235,1,0.77127,0.92778,0.74202,0.83967,1.73431,0.81779,0.00033684,0.00033684,0.00033684
12,108.393,0.61953,0.92507,0.79837,1,0.76565,0.87345,0.71573,0.80232,1.77443,0.81229,0.000359812,0.000359812,0.000359812
13,117.027,0.56058,1.17956,0.81694,1,0.77422,0.87342,0.74126,0.71281,1.84021,0.80368,0.0003812,0.0003812,0.0003812
14,125.323,0.5648,1.03556,0.78171,1,0.77043,0.87339,0.72744,0.66953,1.77008,0.80275,0.000401004,0.000401004,0.000401004
15,133.866,0.54348,0.94255,0.81964,1,0.77196,0.87339,0.72481,0.70178,1.69096,0.80202,0.000419224,0.000419224,0.000419224
16,142.269,0.50789,1.00149,0.80154,1,0.76445,0.89753,0.75531,0.7139,1.62506,0.80426,0.00043586,0.00043586,0.00043586
17,150.564,0.51518,1.02987,0.83975,0.99915,0.77778,0.973,0.81244,0.69438,1.63023,0.80306,0.000450912,0.000450912,0.000450912
18,159.135,0.47483,0.88923,0.82511,1,0.76316,0.91403,0.75865,0.68948,1.72493,0.80382,0.00046438,0.00046438,0.00046438
19,167.548,0.5418,0.89961,0.7999,1,0.75987,0.87371,0.72735,0.69682,1.82877,0.80323,0.000476264,0.000476264,0.000476264
20,176.049,0.4845,0.93482,0.83368,1,0.75955,0.87338,0.74189,0.70644,1.83602,0.8004,0.000486564,0.000486564,0.000486564
21,185.898,0.51847,0.94428,0.82773,1,0.76773,0.88559,0.75619,0.66994,1.78485,0.79525,0.00049528,0.00049528,0.00049528
22,194.706,0.58257,0.94963,0.76047,1,0.76932,0.88611,0.77725,0.65641,1.7291,0.79286,0.000502412,0.000502412,0.000502412
23,202.832,0.50518,0.8567,0.82692,1,0.77056,0.88629,0.75006,0.67544,1.71959,0.79598,0.00050796,0.00050796,0.00050796
24,210.889,0.48924,0.87597,0.82591,1,0.76887,0.88647,0.7674,0.68632,1.73348,0.80398,0.000511924,0.000511924,0.000511924
25,218.989,0.44682,0.83447,0.79783,1,0.77609,0.88902,0.76621,0.67584,1.66033,0.8049,0.000514304,0.000514304,0.000514304
26,227.095,0.42865,0.82606,0.7978,1,0.82358,0.995,0.8433,0.65903,1.53189,0.80163,0.0005151,0.0005151,0.0005151
27,235.163,0.51084,0.84014,0.78466,1,0.94776,0.995,0.84524,0.66828,1.36441,0.79693,0.000514312,0.000514312,0.000514312
28,243.077,0.52199,0.8495,0.82112,1,0.94776,0.995,0.84524,0.66828,1.36441,0.79693,0.00051194,0.00051194,0.00051194
29,251.042,0.45329,0.82134,0.79772,1,0.96368,0.995,0.81684,0.6842,1.27624,0.80042,0.000507984,0.000507984,0.000507984
30,259.042,0.51282,0.84746,0.80505,1,0.96836,0.995,0.83936,0.66248,1.249,0.79705,0.000502444,0.000502444,0.000502444
31,267.025,0.43473,0.77671,0.80812,1,0.96836,0.995,0.83936,0.66248,1.249,0.79705,0.00049532,0.00049532,0.00049532
32,275.146,0.43391,0.84514,0.80701,1,0.9716,0.995,0.85783,0.63979,1.23589,0.79308,0.000486612,0.000486612,0.000486612
33,283.28,0.51813,0.91165,0.80091,1,0.95074,0.995,0.85783,0.65169,1.30774,0.79556,0.00047632,0.00047632,0.00047632
34,291.443,0.53403,0.84152,0.81783,1,0.95074,0.995,0.85783,0.65169,1.30774,0.79556,0.000464444,0.000464444,0.000464444
35,299.608,0.44529,0.80447,0.7902,1,0.89814,0.995,0.85783,0.64363,1.31907,0.79358,0.000450984,0.000450984,0.000450984
36,307.682,0.50431,1.03502,0.82498,1,0.86381,0.995,0.83855,0.66197,1.37945,0.79432,0.00043594,0.00043594,0.00043594
37,315.665,0.50362,0.83325,0.78972,1,0.86381,0.995,0.83855,0.66197,1.37945,0.79432,0.000419312,0.000419312,0.000419312
38,323.673,0.45344,0.85485,0.78452,1,0.84999,0.89,0.73673,0.68799,1.45586,0.79834,0.0004011,0.0004011,0.0004011
